DateTime;Media;Category/Gatra;Subcategory;Headline;Detail
202210101630;Merdeka;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Survei LSI Denny JA: Mayoritas Lulusan SD dan SMP Pilih Ganjar-Airlangga;101
202210101258;Merdeka;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Jika Diminta Jokowi, Mardiono Ajukan Kader PPP Gantikan Dirinya  jadi Watimpres;102
202210071248;Merdeka;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Anies usai Bertemu AHY: Insya Allah Demokrat, NasDem, dan PKS Buat Aliran Baru;103
202210051650;Merdeka;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;DPW NTT Usulkan Ganjar Pranowo jadi Capres 2024;104
202210051622;Merdeka;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Respons Airlangga soal PPP Berpeluang Keluar dari KIB ;105
202210051600;Merdeka;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Anies Terseret Kasus Formula E jadi Alasan PKS Tak Deklarasi Capres Bareng NasDem;106
202210051214;Merdeka;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Ditanya soal NasDem Deklarasi Anies Capres, Prabowo: Ini Hari Ulang Tahun TNI;107
202210051155;Merdeka;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;PKB Kaget NasDem Deklarasi Anies Capres: Begitu Cepat Kayak Ada yang Nguber;108
202210050912;Merdeka;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Jakarta Banjir, PDIP: Anies Sedang Euforia Diusung jadi Capres NasDem;109
202210031402;Merdeka;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;MA Tolak Kasasi Moeldoko Terkait Hasil KLB Demokrat Deli Serdang;110
202210051123;Mediajabar;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Tak Penuhi Kuorum, Hak Interpelasi DPRD Subang Gagal Dilaksanakan;201
202209270740;Mediajabar;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;HUT ke-21 Partai Demokrat di Subang Dirayakan dengan Meriah;202
202209241635;Medijabar;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Kader PAN Subang Popon Supriatin Bebas dari Tuduhan Ijazah Palsu;203
202209240231;Mediajabar;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Segera Daftar! Demokrat Subang Gelar Gerak Jalan Santai Gratis, Hadiah Utama Sepeda Motor;204
202209031551;Mediajabar;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Gelar Rakerda, Golkar Subang Optimis Raih 14 Kursi di Pileg 2024;205
202207271600;Mediajabar;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Golkar Subang Bereaksi, Pernyataan Haris Pertama Dinilai Provokatif dan Tendensius;206
202207201600;Mediajabar;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Legislator PKB Apresiasi Gotong Royong Warga NU di Subang;207
202207111002;Mediajabar;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Idul Adha Tahun Ini, Partai Golkar Subang Kurban 5 Ekor Sapi dan 47 Ekor Domba;208
202207071712;Mediajabar;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;PDIP Subang Terget Raih 14 Kursi di Pileg 2024;209
202206201600;Mediajabar;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Bahas Koalisi, PAN Subang Silaturahmi ke Kantor Golkar;210
202210071936;Jatengtoday;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Politikus Demokrat Lasmi Indaryani Sambut Baik Pertemuan Anies-AHY;301
